Group,Weight,count,mean,std,min,25%,50%,75%,max
Clan,Fine-tune,5328.0,77.1195612367035,205.5664770939948,1.0059985833138303,4.1925244923241385,32.91963683281698,78.04570401471995,7605.214089659963
Clan,Ori,5328.0,4.410458292528345,2.2589303759645425,1.0127609781226738,2.838983096802764,3.9908933999000307,5.458908155898516,17.765696196029307
Combined,Fine-tune,6302.0,170.6500851894719,269.9398863771938,1.7552533795947758,38.59290705584254,77.14962147521479,177.71691311080315,3468.802764680095
Combined,Ori,6302.0,5.964241622597024,3.7302599762385165,1.013052372898646,3.2213101224114817,4.853763969786257,7.692324308244871,19.53459589788146
Pfam,Fine-tune,13308.0,85.14689504812745,156.23178743420985,1.000303643,4.9199087585,37.913880309999996,98.163215575,2947.641492
Pfam,Ori,13308.0,4.826971180650962,2.023848409484764,1.007936408,3.374970907,4.511682606,5.89131019675,18.79001793
